"device.name","device.entity","device.hardware.model","device.hardware.type","device.operating_system.name"
"machine","","","",""
"device-1157f39093f540af8dc9d62e47fceabb","","Lenovo Pro Max","laptop","Windows 11"
"device-8556974052124bcdad34286a08874b4a","","Lenovo Pro Max","laptop","Windows 11"
"device-299934fded5a434cae9addac0ccad7c5","","Lenovo Pro Max","laptop","Windows 11"
"device-566138e0c1504a0ca350cc4754118f74","","Lenovo Pro Max","laptop","Windows 11"
"device-user-8a69db63748d4d058d09f7195adf679b","","","",""
"device-49368b5b237e4c859f4f339ceacdad44","","Lenovo Pro Max","laptop","Windows 11"
"device-e00605516ade4af4a414a0a60f305238","","Lenovo Pro Max","laptop","Windows 11"
"device-4d4ee886f37b451aaa27d33b73585dc7","","Lenovo Pro Max","laptop","Windows 11"
"device-9eab5fbb8bdc479a87f265f248634e86","","Lenovo Pro Max","laptop","Windows 11"
"device-a71ef15a009d4399bcead4b0dfe2637c","","Lenovo Pro Max","laptop","Windows 11"
"device-37c4b7a5a5324a73a2f652ec78291b1b","","Lenovo Pro Max","laptop","Windows 11"
"device-442073e360fd4e5c8313e7edd0fa856b","","Lenovo Pro Max","laptop","Windows 11"
"device-41cce627fed048e68fe97d2950f1a760","","Lenovo Pro Max","laptop","Windows 11"
"device-04e0e3a1e502403aa014bc8d6e1735b6","","Lenovo Pro Max","laptop","Windows 11"
"device-d81a8fc4eaac42ada50da6a27a07adf2","","Lenovo Pro Max","laptop","Windows 11"
"device-bce96a16bada4337ba6fadc67877b8ac","","Lenovo Pro Max","laptop","Windows 11"
"device-03aed884d8e64e18a7fd002e166a4e55","","Lenovo Pro Max","laptop","Windows 11"
"device-4a4b6cbcb2c74dc6b54afb97c702c216","","Lenovo Pro Max","laptop","Windows 11"
"device-d736b40b834841eba14d12056ab32f70","","Lenovo Pro Max","laptop","Windows 11"
"device-2966e2f1dace4ea08eabfcde5301e008","","Lenovo Pro Max","laptop","Windows 11"
"device-a7fdc406be034638825f723276c5f808","","Lenovo Pro Max","laptop","Windows 11"
"device-c13e8fdaabb343c2aee4fbf637c538ee","","Lenovo Pro Max","laptop","Windows 11"
"device-8a65dc4cfcea470c8290b2529d969479","","Lenovo Pro Max","laptop","Windows 11"
"device-8817ecd840a545e5900489ae10061847","","Lenovo Pro Max","laptop","Windows 11"
"device-5df7f083c469443b8fbdc45a4004c200","","Lenovo Pro Max","laptop","Windows 11"
"device-440ca831349b4aba8692d6a7748b4ccb","","Lenovo Pro Max","laptop","Windows 11"
"device-5a846c50295d4b8aa8f694bfec63c9b6","","Lenovo Pro Max","laptop","Windows 11"
"device-4aac70aed12247a78fc7da7598138a8d","","Lenovo Pro Max","laptop","Windows 11"
"device-67b92124dd1246b1998d50e79e6b1bc2","","Lenovo Pro Max","laptop","Windows 11"
"device-ee1f5bd2332a41528d07ec5a1018c3af","","Lenovo Pro Max","laptop","Windows 11"
"device-0144f7ca25474560a4ce9502e9127c29","","Lenovo Pro Max","laptop","Windows 11"
"device-8a20cc6b8a4549b3912d80c6a73b31bb","","Lenovo Pro Max","laptop","Windows 11"
"device-b67817777cb24f17abb74c82543e605f","","Lenovo Pro Max","laptop","Windows 11"
"device-89a8aa2dd47f4d8282a258376b8513ee","","Lenovo Pro Max","laptop","Windows 11"
"device-498dfa07dad643f192019aa033a99047","","Lenovo Pro Max","laptop","Windows 11"
"device-9c8225efd062426da09236330ba8089f","","Lenovo Pro Max","laptop","Windows 11"
"device-c765e19453b54b63ba76963d2179ad02","","Lenovo Pro Max","laptop","Windows 11"
"device-be77891f59e34b55934a7aec5e580031","","Lenovo Pro Max","laptop","Windows 11"
"device-1c71407effec478e8be4fb6dd0c0a5b2","","Lenovo Pro Max","laptop","Windows 11"
"device-6472feb12ac04785abf4b31c98c05bc5","","Lenovo Pro Max","laptop","Windows 11"
"device-08c3b95e5e2442348d282b15d8e5e2a8","","Lenovo Pro Max","laptop","Windows 11"
"device-6d62b8c35e1e43b097a5845a70d97bb8","","Lenovo Pro Max","laptop","Windows 11"
"device-caed46891f5e4d9eb9ac697f595a41c7","","Lenovo Pro Max","laptop","Windows 11"
"device-cdaaa921981f4c6da1cad4972428d652","","Lenovo Pro Max","laptop","Windows 11"
"device-dcce05620f3149f1ba38c30479b3ee11","","Lenovo Pro Max","laptop","Windows 11"
"device-db22eac3e1684e729ee19d0f8548fc52","","Lenovo Pro Max","laptop","Windows 11"
"device-bb2dd02fc57e4257a65103cd28497202","","Lenovo Pro Max","laptop","Windows 11"
"device-374ce471a7aa40ac9aaa283e92297844","","Lenovo Pro Max","laptop","Windows 11"
"device-d6fd0db7dcab4067b6b85baa569d4abc","","Lenovo Pro Max","laptop","Windows 11"
"device-c63b8b40d26345baa457844b78d05a4e","","Lenovo Pro Max","laptop","Windows 11"
"device-fe6d6a490f3d4835b7b9fd6d92ef82c6","","Lenovo Pro Max","laptop","Windows 11"
"device-4c9b3d2537154adda3d1e959759e9dfc","","Lenovo Pro Max","laptop","Windows 11"
"device-5d3542d0de3c415cb560eb2667f06a75","","Lenovo Pro Max","laptop","Windows 11"
"device-94195460df7844c3a1ed218797da590b","","Lenovo Pro Max","laptop","Windows 11"
"device-e6703946810443b5aef9779ddf770833","","Lenovo Pro Max","laptop","Windows 11"
"device-f81c9fb6a3344adeb1ae1e842cb94c2c","","Lenovo Pro Max","laptop","Windows 11"
"device-107389146419464d98ce76e1effd08a4","","Lenovo Pro Max","laptop","Windows 11"
"device-3f61be6ee9d744e4b26e87d676a86583","","Lenovo Pro Max","laptop","Windows 11"
"device-9a1bd48d6b0142bfb44a33b2e5d356b2","","Lenovo Pro Max","laptop","Windows 11"
"device-12b6725700f54da0a52ac4f91620779d","","Lenovo Pro Max","laptop","Windows 11"
"device-9b108e0d2d654af7a649feb6df06e491","","Lenovo Pro Max","laptop","Windows 11"
"device-3d1c2e6e907b4e69964452698d67bc84","","Lenovo Pro Max","laptop","Windows 11"
"device-872ed99929294c97991d4e0d5afb4a0f","","Lenovo Pro Max","laptop","Windows 11"
"device-d23da0d4898748a8b9eb2cc8d631822e","","Lenovo Pro Max","laptop","Windows 11"
"device-924aa3fd804947859a0d1cae53150fe8","","Lenovo Pro Max","laptop","Windows 11"
